G0001	410500.0	2974500.0	10
G0002	170500.0	2976500.0	3
G0003	169500.0	2977500.0	1
G0004	170500.0	2977500.0	2
G0005	169500.0	2978500.0	1
G0006	170500.0	2978500.0	1
G0007	173500.0	2978500.0	1
G0008	170500.0	2979500.0	4
G0009	171500.0	2979500.0	1
G0010	172500.0	2979500.0	2
G0011	169500.0	2981500.0	6
G0012	185500.0	2982500.0	1
G0013	185500.0	2983500.0	6
G0014	181500.0	2984500.0	5
G0015	152500.0	2985500.0	2
G0016	153500.0	2986500.0	3
G0017	158500.0	2986500.0	1
G0018	154500.0	2987500.0	2
G0019	154500.0	2988500.0	1
G0020	158500.0	2988500.0	2
G0021	159500.0	2988500.0	1
G0022	154500.0	2989500.0	1
G0023	155500.0	2989500.0	2
G0024	180500.0	2989500.0	2
G0025	181500.0	2989500.0	1
G0026	155500.0	2990500.0	3
G0027	156500.0	2990500.0	3
G0028	157500.0	2990500.0	2
G0029	179500.0	2990500.0	6
G0030	180500.0	2990500.0	6
G0031	154500.0	2991500.0	1
G0032	155500.0	2991500.0	3
G0033	179500.0	2991500.0	1
G0034	180500.0	2991500.0	3
G0035	154500.0	2992500.0	2
G0036	269500.0	2992500.0	1
G0037	404500.0	2992500.0	4
G0038	405500.0	2992500.0	4
G0039	154500.0	2993500.0	7
G0040	177500.0	2993500.0	1
G0041	178500.0	2993500.0	3
G0042	223500.0	2993500.0	1
G0043	262500.0	2993500.0	2
G0044	263500.0	2993500.0	5
G0045	268500.0	2993500.0	3
G0046	269500.0	2993500.0	2
G0047	404500.0	2993500.0	2
G0048	104500.0	2994500.0	2
G0049	130500.0	2994500.0	4
G0050	131500.0	2994500.0	8
G0051	132500.0	2994500.0	1
G0052	154500.0	2994500.0	2
G0053	176500.0	2994500.0	1
G0054	177500.0	2994500.0	6
G0055	178500.0	2994500.0	2
G0056	226500.0	2994500.0	1
G0057	262500.0	2994500.0	5
G0058	390500.0	2994500.0	4
G0059	404500.0	2994500.0	12
G0060	104500.0	2995500.0	2
G0061	132500.0	2995500.0	4
G0062	133500.0	2995500.0	1
G0063	139500.0	2995500.0	4
G0064	154500.0	2995500.0	1
G0065	163500.0	2995500.0	2
G0066	164500.0	2995500.0	4
G0067	178500.0	2995500.0	2
G0068	179500.0	2995500.0	1
G0069	226500.0	2995500.0	1
G0070	227500.0	2995500.0	2
G0071	264500.0	2995500.0	3
G0072	267500.0	2995500.0	1
G0073	269500.0	2995500.0	5
G0074	270500.0	2995500.0	2
G0075	370500.0	2995500.0	3
G0076	371500.0	2995500.0	3
G0077	372500.0	2995500.0	1
G0078	375500.0	2995500.0	1
G0079	382500.0	2995500.0	1
G0080	389500.0	2995500.0	10
G0081	390500.0	2995500.0	6
G0082	391500.0	2995500.0	4
G0083	104500.0	2996500.0	1
G0084	105500.0	2996500.0	2
G0085	112500.0	2996500.0	3
G0086	113500.0	2996500.0	3
G0087	133500.0	2996500.0	5
G0088	153500.0	2996500.0	6
G0089	164500.0	2996500.0	7
G0090	166500.0	2996500.0	1
G0091	167500.0	2996500.0	3
G0092	168500.0	2996500.0	3
G0093	169500.0	2996500.0	3
G0094	170500.0	2996500.0	2
G0095	179500.0	2996500.0	3
G0096	180500.0	2996500.0	1
G0097	181500.0	2996500.0	3
G0098	182500.0	2996500.0	1
G0099	264500.0	2996500.0	4
G0100	265500.0	2996500.0	1
G0101	266500.0	2996500.0	3
G0102	268500.0	2996500.0	7
G0103	269500.0	2996500.0	5
G0104	271500.0	2996500.0	2
G0105	272500.0	2996500.0	2
G0106	375500.0	2996500.0	7
G0107	376500.0	2996500.0	3
G0108	377500.0	2996500.0	3
G0109	379500.0	2996500.0	2
G0110	380500.0	2996500.0	3
G0111	381500.0	2996500.0	5
G0112	382500.0	2996500.0	4
G0113	404500.0	2996500.0	2
G0114	106500.0	2997500.0	3
G0115	107500.0	2997500.0	1
G0116	112500.0	2997500.0	3
G0117	113500.0	2997500.0	8
G0118	133500.0	2997500.0	1
