IND_ID,Lab_ID,Sample_ID,Sample,Recapture,Detection_index,N_detections_individual,Individual_recaptured,longitude,latitude,Sex,Sex_status,Sample_sex,Sex_source_match,assignment,Coordinate_source,All_data_Recapture,All_data_Detection_index,.row,.lon,.lat,.id,.occ,col,row,grid_id,.idx,x,y,n_points,.clust,.id_final,.keep,Final_ID,Source_IND_ID
IND240,MT-7470,BRP_PA-07/01,MT-7470,0,1,1,0,91.744659,27.302944,M,consistent_available_calls,M,matched_sex_call,original_pipeline,locations.csv,0,1,320,91.744659,27.302944,IND240,1,277,46,G0539,292,375500,3020500,4,1,IND240,TRUE,IND240,IND240
IND241,MT-7471,BRP_PA-07/02,MT-7471,0,1,1,0,91.92488,27.395729,U,no_sex_call,NA,matched_no_sex_call,original_pipeline,locations.csv,0,1,321,91.92488,27.395729,IND241,1,295,56,G0685,293,393500,3030500,4,1,IND241,TRUE,IND241,IND241
IND242,MT-7473,BRP_PA-07/04,MT-7473,0,1,1,0,92.002966,27.229942,U,no_sex_call,NA,matched_no_sex_call,original_pipeline,locations.csv,0,1,322,92.002966,27.229942,IND242,1,303,38,G0365,294,401500,3012500,3,1,IND242,TRUE,IND242,IND242
IND244,MT-7477,BRP_PA-07/08,MT-7477,0,1,1,0,91.931951,27.397992,U,no_sex_call,NA,matched_no_sex_call,original_pipeline,locations.csv,0,1,324,91.931951,27.397992,IND244,1,296,56,G0686,295,394500,3030500,2,1,IND244,TRUE,IND244,IND244
IND247,MT-7484,BRP_PA-08/01,MT-7484,0,1,1,0,92.043974,27.051477,U,no_sex_call,NA,matched_no_sex_call,original_pipeline,locations.csv,0,1,327,92.043974,27.051477,IND247,1,307,18,G0038,296,405500,2992500,4,1,IND247,TRUE,IND247,IND247
IND248,MT-7486,BRP_PA-08/03,MT-7486,0,1,1,0,92.022222,27.121944,F,consistent_available_calls,F,matched_sex_call,original_pipeline,locations.csv,0,1,328,92.022222,27.121944,IND248,1,305,26,G0171,297,403500,3000500,10,1,IND248,TRUE,IND248,IND248
IND249,MT-7487,BRP_PA-01/57,MT-7487,0,1,3,1,89.081974,27.065831,U,no_sex_call,NA,lab_ID_not_in_sexing_file,original_pipeline,locations.csv,0,1,329,89.081974,27.065831,IND249,1,13,25,G0148,298,111500,2999500,3,1,IND249,TRUE,IND249,IND249
IND249,MT-7489,BRP_PA-01/59,MT-7489,1,2,3,1,89.099104,27.048618,U,no_sex_call,NA,lab_ID_not_in_sexing_file,original_pipeline,locations.csv,1,2,330,89.099104,27.048618,IND249,1,14,23,G0116,299,112500,2997500,3,1,IND249,TRUE,IND249,IND249
IND249,MT-7490,BRP_PA-01/60,MT-7490,1,3,3,1,89.180435,27.148642,U,no_sex_call,NA,matched_no_sex_call,original_pipeline,locations.csv,1,3,331,89.180435,27.148642,IND249,1,23,34,G0289,300,121500,3008500,5,2,IND249,TRUE,IND249,IND249
IND250,MT-7488,BRP_PA-01/58,MT-7488,0,1,1,0,89.080682,27.066049,M,consistent_available_calls,M,matched_sex_call,original_pipeline,locations.csv,0,1,332,89.080682,27.066049,IND250,1,13,25,G0148,301,111500,2999500,3,1,IND250,TRUE,IND250,IND250
IND251,MT-7492,BRP_PA-01/62,MT-7492,0,1,6,1,89.180515,27.148626,M,consistent_available_calls,NA,lab_ID_not_in_sexing_file,original_pipeline,locations.csv,0,1,333,89.180515,27.148626,IND251,1,23,34,G0289,302,121500,3008500,5,1,IND251,TRUE,IND251,IND251
IND251,MT-7499,BRP_PA-01/69,MT-7499,1,2,6,1,89.180385,27.148719,M,consistent_available_calls,NA,lab_ID_not_in_sexing_file,original_pipeline,locations.csv,1,2,334,89.180385,27.148719,IND251,1,23,34,G0289,303,121500,3008500,5,1,IND251,TRUE,IND251,IND251
IND251,MT-7503,BRP_PA-01/73,MT-7503,1,3,6,1,89.180525,27.148738,M,consistent_available_calls,NA,lab_ID_not_in_sexing_file,original_pipeline,locations.csv,1,3,335,89.180525,27.148738,IND251,1,23,34,G0289,304,121500,3008500,5,1,IND251,TRUE,IND251,IND251
IND251,MT-7512,BRP_PA-01/82,MT-7512,1,4,6,1,89.180515,27.148626,M,consistent_available_calls,NA,lab_ID_not_in_sexing_file,original_pipeline,locations.csv,1,4,336,89.180515,27.148626,IND251,1,23,34,G0289,305,121500,3008500,5,1,IND251,TRUE,IND251,IND251
IND251,MT-7514,BRP_PA-01/84,MT-7514,1,5,6,1,89.067106,27.180489,M,consistent_available_calls,NA,lab_ID_not_in_sexing_file,original_pipeline,locations.csv,1,5,337,89.067106,27.180489,IND251,1,12,38,G0346,306,110500,3012500,6,2,IND251,TRUE,IND251,IND251
IND251,MT-7519,BRP_PA-01/89,MT-7519,1,6,6,1,89.067548,27.184725,M,consistent_available_calls,M,matched_sex_call,original_pipeline,locations.csv,1,6,338,89.067548,27.184725,IND251,1,12,39,G0367,307,110500,3013500,3,2,IND251,TRUE,IND251,IND251
